"Month","Customer","Total Transfer In","Total Transfer Out","Account Monthly Balance"
1,"845349120598188672",3275.87,1058.18,2217.6899999999996
1,"417438835581010752",9043.689999999999,3331.2799999999997,5712.409999999999
1,"2400533953377525760",7347.23,6518.65,828.5799999999999
1,"2961407564635996160",11588.91,2857.21,8731.7
1,"2590350295196688384",13874.369999999999,1035.52,12838.849999999999
1,"488464218988172672",15146.19,2513.6900000000005,12632.5
1,"533429339549633088",3650.46,4430.41,-779.9499999999998
1,"3125433165800194048",12084.35,4497.83,7586.52
1,"1706011879990970112",12093.86,7179.1900000000005,4914.67
1,"1715780175151407872",23991.08,7810.28,16180.800000000003
1,"1266383711352651264",11917.29,5685.62,6231.670000000001
1,"3020898599875479040",18418.98,9180.54,9238.439999999999
1,"2523202290361747456",11633.54,3816.61,7816.93
1,"38659298224162144",10890.37,8509.1,2381.2700000000004
1,"617513018976550784",1772.54,1348.8600000000001,423.67999999999984
1,"2041070776177590528",14360.220000000001,7539.01,6821.210000000001
1,"1371444747540850176",15710.49,8516.92,7193.57
1,"2859474882389318144",21054.200000000004,12184.66,8869.540000000005
1,"3297168110668685824",5190.87,6036.27,-845.4000000000005
1,"481041191332702080",710.72,1519.64,-808.9200000000001
1,"204778221515707552",8502.95,2885.07,5617.880000000001
1,"1571865313823225600",8438.29,166.65,8271.640000000001
1,"468470759940630144",4491.139999999999,2765.98,1725.1599999999994
1,"2084294523646596352",10644.7,7276.6,3368.1000000000004
1,"1889803538447439872",7378.360000000001,2789.72,4588.640000000001
1,"605992306665599232",9001.74,709.24,8292.5
1,"1137769864550275840",6721.54,1970.55,4750.99
1,"647010379619376640",13338.64,3104.06,10234.58
1,"2324941189126282240",13012.140000000001,2778.53,10233.61
1,"63121242846060616",1381.82,2563.2,-1181.3799999999999
1,"2783440452686822912",8459.609999999999,2432.81,6026.799999999999
1,"424694157472655040",2553.48,3202.45,-648.9699999999998
1,"2332749009972671488",8355.509999999998,2861.7799999999997,5493.729999999999
